-50	3
-49	2
-48	5
-47	2
-46	3
-45	6
-44	7
-43	6
-42	5
-41	2
-40	7
-39	2
-38	5
-37	10
-36	5
-35	9
-34	8
-33	12
-32	11
-31	6
-30	20
-29	15
-28	15
-27	24
-26	21
-25	17
-24	21
-23	29
-22	43
-21	41
-20	49
-19	52
-18	64
-17	71
-16	82
-15	102
-14	82
-13	93
-12	209
-11	193
-10	241
-9	185
-8	362
-7	268
-6	553
-5	446
-4	1275
-3	1533
-2	2759
-1	10408
1	7358
2	1843
3	650
4	705
5	185
6	290
7	131
8	160
9	96
10	138
11	103
12	118
13	69
14	66
15	47
16	57
17	60
18	44
19	28
20	45
21	27
22	40
23	40
24	21
25	24
26	19
27	6
28	15
29	11
30	8
31	6
32	8
33	7
34	8
35	4
36	11
37	4
38	5
39	3
40	6
41	2
42	4
43	4
44	10
45	1
46	2
47	3
48	8
49	2
